Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2071.628417
FDS10,OUT049,3168.603078
FDX22,OUT049,3646.626988
FDV21,OUT049,2330.034085
FDW21,OUT049,1933.355342
FDU58,OUT049,3301.55037
FDM22,OUT049,1238.005888
FDL46,OUT049,2242.867102
FDS09,OUT049,1201.355082
FDC47,OUT049,3952.061036
FDQ46,OUT049,2110.179279
FDG58,OUT049,2794.895149
FDK33,OUT049,3686.208257
FDA45,OUT049,3165.26993
FDM57,OUT049,1720.927251
FDA58,OUT049,4010.403808
FDX57,OUT049,1919.357107
FDJ46,OUT049,3087.357316
FDN45,OUT049,3867.196924
FDW10,OUT049,3132.561003
FDT45,OUT049,1210.97308
FDO21,OUT049,3904.430373
FDQ45,OUT049,3282.390481
FDM33,OUT049,3813.768745
FDN09,OUT049,4178.685975
FDM09,OUT049,3065.715779
FDP46,OUT049,1749.992778
FDN22,OUT049,4342.59142
FDP21,OUT049,3304.780791
FDG34,OUT049,2109.275516
FDU57,OUT049,2766.053325
FDY09,OUT049,3121.743532
FDS45,OUT049,2028.118736
FDE22,OUT049,2840.423628
FDD10,OUT049,3201.50862
FDM34,OUT049,2451.394058
FDF58,OUT049,1350.807905
FDS22,OUT049,1116.416109
FDA57,OUT049,1019.428362
FDE46,OUT049,2752.882723
FDD58,OUT049,1943.279948
FDJ33,OUT049,2342.023602
FDN10,OUT049,2200.2747
FDK46,OUT049,4420.218826
FDL45,OUT049,2309.233671
FDK57,OUT049,2256.992625
FDQ34,OUT049,1999.39428
FDL21,OUT049,1046.064764
FDX10,OUT049,962.9449558
FDP57,OUT049,2010.967352
FDI58,OUT049,1835.398747
FDG22,OUT049,968.5959516
FDK34,OUT049,4077.217955
FDK09,OUT049,3924.00903
FDT10,OUT049,1364.708695
FDW46,OUT049,1397.10416
FDV10,OUT049,1048.270728
FDF46,OUT049,2156.271643
FDI33,OUT049,1783.973235
FDW34,OUT049,4144.724654
FDO34,OUT049,2995.417363
FDP33,OUT049,4349.557575
FDB58,OUT049,2634.854781
FDG10,OUT049,1282.839196
FDY21,OUT049,3462.32359
FDM45,OUT049,2279.454164
FDR46,OUT049,2656.631074
FDJ22,OUT049,3385.289656
FDI21,OUT049,1380.894582
FDY22,OUT049,2678.592681
FDC58,OUT049,1046.010603
FDR57,OUT049,2860.810058
FDT46,OUT049,1148.722286
FDZ57,OUT049,2413.08828
FDL33,OUT049,3422.88261
FDK22,OUT049,3733.235063
FDO10,OUT049,1310.151002
FDK10,OUT049,3217.147372
FDJ58,OUT049,3095.298012
FDI22,OUT049,3600.631232
FDW14,OUT049,1727.351751
FDR14,OUT049,1231.200361
FDE52,OUT049,1797.492233
FDZ14,OUT049,2271.900003
FDY27,OUT049,3129.688537
FDX02,OUT049,3861.241652
FDJ03,OUT049,1182.461412
FDU14,OUT049,4266.040563
FDZ02,OUT049,1883.568989
DRI39,OUT049,1278.660354
FDC52,OUT049,2763.50818
FDW02,OUT049,2319.994938
FDP26,OUT049,1982.194774
FDZ50,OUT049,3269.86867
DRH15,OUT049,1073.15671
DRE15,OUT049,1568.153776
FDX26,OUT049,3228.141975
FDA51,OUT049,2186.863308
FDY26,OUT049,3683.294247
FDF39,OUT049,4470.124457
FDX50,OUT049,2118.426455
FDB28,OUT049,3428.39765
DRF15,OUT049,2748.315032
DRJ39,OUT049,3819.145293
FDR26,OUT049,3123.867352
FDA26,OUT049,3816.536788
FDC39,OUT049,3572.703245
DRG03,OUT049,2793.955089
FDY50,OUT049,1735.583237
FDS14,OUT049,2786.862579
FDE39,OUT049,2231.559258
DRI51,OUT049,3038.513074
FDB51,OUT049,1315.177641
FDE40,OUT049,1348.491818
FDD39,OUT049,3770.267968
FDU38,OUT049,3324.062718
FDT02,OUT049,932.921534
FDT14,OUT049,2263.768894
FDY02,OUT049,4459.150578
FDE51,OUT049,1073.187557
FDB04,OUT049,1747.263471
FDX38,OUT049,1168.731271
FDF40,OUT049,4292.455049
FDZ38,OUT049,3032.514507
FDW38,OUT049,1201.102823
FDD03,OUT049,3959.371276
NCO55,OUT049,2073.514007
NCK31,OUT049,1160.828064
NCL55,OUT049,4320.338366
NCP43,OUT049,3170.344961
NCL07,OUT049,1031.738803
NCM31,OUT049,2556.431393
NCM19,OUT049,2137.258878
NCK19,OUT049,3400.048137
NCP50,OUT049,1646.411884
NCJ19,OUT049,1262.440184
NCO43,OUT049,1929.290541
NCP55,OUT049,1227.708543
NCN19,OUT049,3310.87316
FDA31,OUT049,3019.395502
FDR07,OUT049,1897.678311
FDV56,OUT049,2077.12534
FDM20,OUT049,4171.404363
FDH08,OUT049,3934.58918
FDK44,OUT049,3088.697633
FDF32,OUT049,3475.81221
FDU43,OUT049,4150.370302
FDP31,OUT049,1442.772839
FDI56,OUT049,1765.541393
FDM32,OUT049,1754.186262
FDK56,OUT049,3266.810448
FDW20,OUT049,2277.759626
FDN20,OUT049,3011.837989
FDY08,OUT049,2592.685952
FDZ43,OUT049,4162.074374
FDU08,OUT049,1906.759852
FDP20,OUT049,2361.689113
FDG45,OUT049,3674.850203
FDE45,OUT049,3135.452174
FDB57,OUT049,3873.149324
FDB21,OUT049,4117.469767
FDQ55,OUT049,2213.576667
FDZ19,OUT049,3074.83542
FDV08,OUT049,1009.99674
FDS07,OUT049,2133.857512
FDG32,OUT049,3829.98533
FDS08,OUT049,3075.945782
FDQ19,OUT049,4141.911418
FDD09,OUT049,3172.537035
